"","id","pathway","x","y","reaction","ec"
"1",1,"00010",483,407,"rn:R01070","ec:4.1.2.13"
"2",2,"00010",284,948,"rn:R00710","ec:1.2.1.3"
"3",3,"00010",146,916,"rn:R00229","ec:6.2.1.13"
"4",4,"00010",259,969,"rn:R00711","ec:1.2.1.5"
"5",5,"00010",378,915,"rn:R00755","ec:4.1.1.1"
"6",6,"00010",487,948,"rn:R00746","ec:1.1.1.2"
"7",7,"00010",439,941,"rn:R00754","ec:1.1.1.1"
"8",8,"00010",431,879,"rn:R00014","ec:4.1.1.1"
"9",9,"00010",431,858,"rn:R00014","ec:1.2.4.1"
"10",10,"00010",319,870,"rn:R03270","ec:1.2.4.1"
"11",11,"00010",210,870,"rn:R02569","ec:2.3.1.12"
"12",12,"00010",558,869,"rn:R00703","ec:1.1.1.27"
"13",13,"00010",483,771,"rn:R00200","ec:2.7.1.40"
"14",14,"00010",483,701,"rn:R00658","ec:4.2.1.11"
"15",15,"00010",458,630,"rn:R01518","ec:5.4.2.11"
"16",16,"00010",458,484,"rn:R01061","ec:1.2.1.12"
"17",17,"00010",386,449,"rn:R01015","ec:5.3.1.1"
"18",18,"00010",458,336,"rn:R04779","ec:2.7.1.11"
"19",19,"00010",408,336,"rn:R04780","ec:3.1.3.11"
"20",20,"00010",552,196,"rn:R02738","ec:2.7.1.199"
"21",21,"00010",483,265,"rn:R02740","ec:5.3.1.9"
"22",22,"00010",483,178,"rn:R00959","ec:5.4.2.2"
"23",23,"00010",385,302,"rn:R03321","ec:5.3.1.9"
"24",24,"00010",233,291,"rn:R01600","ec:2.7.1.1"
"25",25,"00010",233,312,"rn:R01600","ec:2.7.1.2"
"26",26,"00010",357,264,"rn:R02739","ec:5.3.1.9"
"27",27,"00010",307,264,"rn:R02739","ec:5.1.3.15"
"28",28,"00010",181,264,"rn:R01602","ec:5.1.3.3"
"29",29,"00010",233,239,"rn:R01786","ec:2.7.1.2"
"30",30,"00010",233,218,"rn:R01786","ec:2.7.1.1"
"31",31,"00010",330,193,"rn:R01788","ec:3.1.3.9"
"32",32,"00010",330,144,"rn:R00947","ec:3.1.3.10"
"33",33,"00010",262,913,"rn:R07618","ec:1.8.1.4"
"34",34,"00010",483,557,"rn:R01512","ec:2.7.2.3"
"35",35,"00010",281,218,"rn:R02189","ec:2.7.1.63"
"36",36,"00010",281,291,"rn:R02187","ec:2.7.1.63"
"37",37,"00010",291,359,"rn:R05133","ec:3.2.1.86"
"38",38,"00010",291,385,"rn:R05134","ec:3.2.1.86"
"39",39,"00010",239,726,"rn:R00431 rn:R00726","ec:4.1.1.32"
"40",40,"00010",439,960,"rn:R09127","ec:1.1.2.7"
"41",41,"00010",239,747,"rn:R00341","ec:4.1.1.49"
"42",42,"00010",508,484,"rn:R01061 rn:R01063","ec:1.2.1.59"
"43",43,"00010",442,521,"rn:R07159","ec:1.2.7.6"
"44",44,"00010",392,521,"rn:R01058","ec:1.2.1.9"
"45",45,"00010",284,789,"rn:R01196","ec:1.2.7.1"
"46",46,"00010",531,593,"rn:R01516","ec:5.4.2.11"
"47",47,"00010",531,521,"rn:R01662","ec:5.4.2.4"
"48",48,"00010",96,916,"rn:R00235","ec:6.2.1.1"
"49",49,"00010",508,336,"rn:R09084","ec:2.7.1.146"
"50",50,"00010",281,239,"rn:R09085","ec:2.7.1.147"
"51",51,"00010",281,312,"rn:R09086","ec:2.7.1.147"
"52",52,"00010",439,979,"rn:R05198","ec:1.1.2.8"
"53",53,"00010",508,630,"rn:R01518","ec:5.4.2.12"
"54",54,"00010",571,630,"rn:R09532","ec:3.1.3.80"
"55",55,"00010",416,540,"rn:R01058 rn:R10860","ec:1.2.1.90"
"56",56,"00010",284,810,"rn:R01196","ec:1.2.7.11"
"57",57,"00010",558,336,"rn:R02073","ec:2.7.1.90"
"58",58,"00010",487,928,"rn:R09479","ec:1.1.5.5"
"59",59,"00020",467,623,"rn:R07618","ec:1.8.1.4"
"60",60,"00020",661,579,"rn:R00621","ec:1.2.4.2"
"61",61,"00020",530,580,"rn:R03316","ec:1.2.4.2"
"62",62,"00020",403,579,"rn:R02570","ec:2.3.1.61"
"63",63,"00020",260,579,"rn:R00405","ec:6.2.1.5"
"64",64,"00020",260,560,"rn:R00432 rn:R00727","ec:6.2.1.4"
"65",65,"00020",718,510,"rn:R00268","ec:1.1.1.42"
"66",66,"00020",766,463,"rn:R00709","ec:1.1.1.41"
"67",67,"00020",718,405,"rn:R01899","ec:1.1.1.42"
"68",68,"00020",436,350,"rn:R00352","ec:2.3.3.8"
"69",69,"00020",191,441,"rn:R01082","ec:4.2.1.2"
"70",70,"00020",670,350,"rn:R01900","ec:4.2.1.3"
"71",71,"00020",571,350,"rn:R01325","ec:4.2.1.3"
"72",72,"00020",436,331,"rn:R00351","ec:2.3.3.1"
"73",73,"00020",253,349,"rn:R00342","ec:1.1.1.37"
"74",74,"00020",736,278,"rn:R00344","ec:6.4.1.1"
"75",75,"00020",686,241,"rn:R00014","ec:1.2.4.1"
"76",76,"00020",582,241,"rn:R03270","ec:1.2.4.1"
"77",77,"00020",529,285,"rn:R07618","ec:1.8.1.4"
"78",78,"00020",464,242,"rn:R02569","ec:2.3.1.12"
"79",79,"00020",371,126,"rn:R00341","ec:4.1.1.49"
"80",80,"00020",371,105,"rn:R00431 rn:R00726","ec:4.1.1.32"
"81",81,"00020",816,463,"rn:R00709","ec:1.1.1.286"
"82",82,"00020",260,598,"rn:R10343","ec:2.8.3.18"
"83",83,"00020",215,535,"rn:R02164","ec:1.3.5.1"
"84",84,"00020",253,398,"rn:R00361","ec:1.1.5.4"
"85",85,"00020",165,535,"rn:R02164","ec:1.3.5.4"
"86",86,"00020",530,656,"rn:R01197","ec:1.2.7.11"
"87",87,"00020",535,157,"rn:R01196","ec:1.2.7.1"
"88",88,"00020",535,179,"rn:R01196","ec:1.2.7.11"
"89",89,"00020",530,678,"rn:R01197","ec:1.2.7.3"
"90",90,"00020",436,369,"rn:R00351","ec:2.3.3.3"
"91",91,"00030",628,605,"rn:R06836","ec:2.7.4.23"
"92",92,"00030",202,351,"rn:R02739","ec:5.3.1.9"
"93",93,"00030",740,310,"rn:R05605","ec:4.1.2.14"
"94",94,"00030",401,663,"rn:R02750","ec:2.7.1.15"
"95",95,"00030",402,695,"rn:R02749","ec:5.4.2.7"
"96",96,"00030",262,695,"rn:R01066","ec:4.1.2.4"
"97",97,"00030",530,567,"rn:R01049","ec:2.7.6.1"
"98",98,"00030",628,541,"rn:R01057","ec:5.4.2.7"
"99",99,"00030",628,520,"rn:R01051","ec:2.7.1.15"
"100",100,"00030",420,560,"rn:R01641","ec:2.2.1.1"
"101",101,"00030",530,485,"rn:R01056","ec:5.3.1.6"
"102",102,"00030",476,446,"rn:R01529","ec:5.1.3.1"
"103",103,"00030",305,446,"rn:R01830","ec:2.2.1.1"
"104",104,"00030",200,562,"rn:R01070","ec:4.1.2.13"
"105",105,"00030",176,493,"rn:R04779","ec:2.7.1.11"
"106",106,"00030",140,469,"rn:R04780","ec:3.1.3.11"
"107",107,"00030",202,416,"rn:R02740","ec:5.3.1.9"
"108",108,"00030",493,277,"rn:R02032 rn:R02034","ec:1.1.1.43"
"109",109,"00030",450,241,"rn:R02658","ec:2.7.1.13"
"110",110,"00030",504,363,"rn:R01528","ec:1.1.1.44"
"111",111,"00030",451,320,"rn:R02035","ec:3.1.1.31"
"112",112,"00030",280,310,"rn:R02736","ec:1.1.1.49"
"113",113,"00030",666,101,"rn:R01544","ec:4.3.1.9"
"114",114,"00030",641,241,"rn:R01541","ec:2.7.1.45"
"115",115,"00030",598,321,"rn:R02036","ec:4.2.1.12"
"116",116,"00030",534,241,"rn:R01737","ec:2.7.1.12"
"117",117,"00030",598,166,"rn:R01538","ec:4.2.1.140"
"118",118,"00030",421,156,"rn:R01519","ec:3.1.1.17"
"119",119,"00030",290,214,"rn:R06620","ec:1.1.5.2"
"120",120,"00030",242,214,"rn:R00305","ec:1.1.5.9"
"121",121,"00030",267,145,"rn:R01522","ec:1.1.3.4"
"122",122,"00030",267,125,"rn:R01520 rn:R01521","ec:1.1.1.47"
"123",123,"00030",267,166,"rn:R01522","ec:1.1.3.5"
"124",124,"00030",450,185,"rn:R01741","ec:1.1.99.3"
"125",125,"00030",364,526,"rn:R01827","ec:2.2.1.2"
"126",126,"00030",628,562,"rn:R01057","ec:5.4.2.2"
"127",127,"00030",740,145,"rn:R08570","ec:4.1.2.55"
"128",128,"00030",867,174,"rn:R08571","ec:1.2.7.5"
"129",129,"00030",955,156,"rn:R08572","ec:2.7.1.165"
"130",130,"00030",740,331,"rn:R05605","ec:4.1.2.55"
"131",131,"00030",263,639,"rn:R01621","ec:4.1.2.9"
"132",132,"00030",493,216,"rn:R01739","ec:1.1.1.215"
"133",133,"00030",226,493,"rn:R09084","ec:2.7.1.146"
"134",134,"00030",451,383,"rn:R05338","ec:4.1.2.43"
"135",135,"00030",292,384,"rn:R09780","ec:5.3.1.27"
"136",136,"00030",666,357,"rn:R10408","ec:4.3.1.29"
"137",137,"00030",618,384,"rn:R10407","ec:2.7.1.203"
"138",138,"00030",867,136,"rn:R10324","ec:1.2.99.8"
"139",139,"00030",867,310,"rn:R01058","ec:1.2.1.9"
"140",140,"00030",740,166,"rn:R08570","ec:4.1.2.51"
"141",141,"00030",598,145,"rn:R01538","ec:4.2.1.39"
"142",142,"00030",242,193,"rn:R07147","ec:1.1.1.360"
"143",143,"00030",290,193,"rn:R07147","ec:1.1.1.359"
"144",144,"00030",691,241,"rn:R01541","ec:2.7.1.178"
"145",145,"00030",867,155,"rn:R10615","ec:1.2.1.89"
"146",146,"00030",867,331,"rn:R01058 rn:R10860","ec:1.2.1.90"
"147",147,"00030",554,363,"rn:R10221","ec:1.1.1.343"
"148",148,"00030",255,331,"rn:R02736 rn:R10907","ec:1.1.1.363"
"149",149,"00030",303,331,"rn:R10907","ec:1.1.1.388"
"150",150,"00030",113,493,"rn:R02073","ec:2.7.1.90"
"151",151,"00040",505,197,"rn:R01982","ec:3.2.1.15"
"152",152,"00040",738,588,"rn:R07125","ec:4.1.1.85"
"153",153,"00040",703,512,"rn:R07127","ec:2.7.1.53"
"154",154,"00040",491,419,"rn:R01478","ec:3.2.1.31"
"155",155,"00040",868,714,"rn:R01761","ec:5.3.1.4"
"156",156,"00040",765,753,"rn:R02441","ec:1.1.1.13"
"157",157,"00040",733,810,"rn:R02439","ec:2.7.1.16"
"158",158,"00040",378,879,"rn:R01895","ec:1.1.1.56"
"159",159,"00040",491,889,"rn:R01526","ec:2.7.1.47"
"160",160,"00040",491,868,"rn:R01526","ec:2.7.1.16"
"161",161,"00040",540,830,"rn:R01529","ec:5.1.3.1"
"162",162,"00040",597,811,"rn:R05850","ec:5.1.3.4"
"163",163,"00040",598,868,"rn:R01524 rn:R01525","ec:1.1.1.137"
"164",164,"00040",706,880,"rn:R02921","ec:2.7.7.40"
"165",165,"00040",657,774,"rn:R03244","ec:5.1.3.22"
"166",166,"00040",412,764,"rn:R05604","ec:1.1.1.11"
"167",167,"00040",491,727,"rn:R01639","ec:2.7.1.17"
"168",168,"00040",337,764,"rn:R01898","ec:5.3.1.15"
"169",169,"00040",205,871,"rn:R01782","ec:4.1.2.28"
"170",170,"00040",205,787,"rn:R02429","ec:4.2.1.82"
"171",171,"00040",658,684,"rn:R01901","ec:2.7.1.53"
"172",172,"00040",412,695,"rn:R01896","ec:1.1.1.9"
"173",173,"00040",337,692,"rn:R01432","ec:5.3.1.5"
"174",174,"00040",816,640,"rn:R01758 rn:R01759","ec:1.1.1.21"
"175",175,"00040",710,640,"rn:R01903","ec:1.1.1.12"
"176",176,"00040",520,646,"rn:R01904","ec:1.1.1.10"
"177",177,"00040",388,639,"rn:R01431","ec:1.1.1.21"
"178",178,"00040",254,629,"rn:R01429","ec:1.1.1.175"
"179",179,"00040",662,536,"rn:R01905","ec:4.1.1.34"
"180",180,"00040",663,417,"rn:R02640","ec:1.1.1.45"
"181",181,"00040",297,510,"rn:R00289","ec:2.7.7.9"
"182",182,"00040",364,419,"rn:R01383","ec:2.4.1.17"
"183",183,"00040",297,435,"rn:R00286","ec:1.1.1.22"
"184",184,"00040",607,396,"rn:R01481","ec:1.1.1.19"
"185",185,"00040",490,385,"rn:R01476","ec:2.7.1.43"
"186",186,"00040",364,396,"rn:R01381","ec:2.7.7.64"
"187",187,"00040",506,346,"rn:R01482","ec:5.3.1.12"
"188",188,"00040",389,346,"rn:R02454","ec:1.1.1.57"
"189",189,"00040",246,346,"rn:R05606","ec:4.2.1.8"
"190",190,"00040",169,294,"rn:R01540","ec:4.2.1.7"
"191",191,"00040",389,251,"rn:R01983","ec:5.3.1.12"
"192",192,"00040",246,251,"rn:R02555","ec:1.1.1.58"
"193",193,"00040",378,919,"rn:R01892","ec:1.1.2.2"
"194",194,"00040",568,632,"rn:R05831","ec:1.1.1.15"
"195",195,"00040",705,445,"rn:R02637 rn:R02639","ec:1.1.1.130"
"196",196,"00040",453,221,"rn:R07413","ec:3.2.1.67"
"197",197,"00040",453,170,"rn:R02360","ec:3.2.1.15"
"198",198,"00040",452,118,"rn:R02362","ec:3.1.1.11"
"199",199,"00040",389,138,"rn:R02361","ec:4.2.2.2"
"200",200,"00040",323,170,"rn:R04382","ec:4.2.2.6"
"201",201,"00040",203,199,"rn:R04383","ec:5.3.1.17"
"202",202,"00040",89,269,"rn:R01542","ec:1.1.1.127"
"203",203,"00040",616,574,"rn:R01902","ec:2.7.1.5"
"204",204,"00040",510,574,"rn:R01785","ec:4.1.2.19"
"205",205,"00040",389,159,"rn:R02361","ec:4.2.2.9"
"206",206,"00040",254,650,"rn:R01430","ec:1.1.1.179"
"207",207,"00040",364,375,"rn:R01381","ec:2.7.7.44"
"208",208,"00040",412,842,"rn:R07134","ec:1.1.1.250"
"209",209,"00040",462,764,"rn:R07143","ec:1.1.1.287"
"210",210,"00040",462,842,"rn:R07144","ec:1.1.1.287"
"211",211,"00040",833,251,"rn:R10563","ec:1.1.1.372"
"212",212,"00040",646,251,"rn:R10532","ec:4.2.1.146"
"213",213,"00040",739,251,"rn:R10550","ec:4.1.2.54"
"214",214,"00040",388,610,"rn:R01431 rn:R09477","ec:1.1.1.307"
"215",215,"00040",462,695,"rn:R01896","ec:1.1.1.14"
"216",216,"00040",607,375,"rn:R01481","ec:1.1.1.2"
"217",217,"00040",604,321,"rn:R10848","ec:1.1.1.380"
"218",218,"00040",150,829,"rn:R09186","ec:4.2.1.141"
"219",219,"00040",61,864,"rn:R00264","ec:1.2.1.26"
"220",220,"00040",541,261,"rn:R07676","ec:1.1.1.365"
"221",221,"00040",388,669,"rn:R07152","ec:1.1.3.41"
"222",222,"00040",389,301,"rn:R11624","ec:5.1.2.7"
"223",223,"00040",598,889,"rn:R01525","ec:1.1.1.405"
